197,-1,621,-1,357,623,1
501,-1,623,2
-1,397,622,3
-1,225,345,4
505,243,622,5
405,-1,310,6
-1,383,312,7
407,-1,311,8
-1,226,311,9
-1,-1,310,10
409,257,621,11
-1,-1,312,12
415,-1,311,13
-1,213,622,14
443,287,349,15
417,-1,625,16
-1,284,310,17
-1,256,311,18
-1,244,312,19
-1,288,313,20
395,376,313,21
-1,422,313,22
-1,348,313,23
483,-1,312,24
-1,297,312,25
-1,370,311,26
-1,-1,372,27
-1,-1,356,28
-1,-1,211,29
-1,-1,402,30
-1,-1,252,31
-1,290,314,32
-1,-1,314,33
-1,-1,-1,34
-1,202,226,35
-1,-1,312,36
-1,-1,-1,37
-1,199,-1,38
-1,-1,215,39
-1,-1,211,40
-1,-1,252,41
-1,-1,315,42
-1,198,-1,43
-1,-1,314,44
-1,-1,185,45
-1,-1,313,46
-1,-1,-1,47
-1,201,240,48
-1,-1,313,49
-1,-1,-1,50
-1,307,-1,51
-1,-1,313,52
-1,209,226,53
-1,-1,427,54
-1,-1,209,55
-1,-1,-1,56
-1,197,222,57
-1,200,352,58
-1,-1,-1,59
-1,-1,252,60
-1,-1,313,61
-1,-1,201,62
-1,-1,250,63
-1,196,312,64
-1,-1,-1,65
-1,-1,312,66
-1,-1,-1,67
-1,-1,398,68
-1,-1,218,69
-1,-1,625,70
-1,-1,270,71
-1,-1,625,72
-1,-1,-1,73
-1,-1,625,74
-1,-1,625,75
-1,93,-1,76
-1,-1,428,77
-1,-1,625,78
-1,291,625,79
-1,-1,625,80
-1,196,625,81
-1,286,625,82
-1,-1,625,83
-1,-1,625,84
-1,-1,-1,85
-1,-1,625,86
-1,-1,625,87
-1,220,256,88
-1,224,626,89
-1,-1,433,90
-1,-1,406,91
-1,-1,208,92
-1,-1,625,93
-1,-1,252,94
-1,196,250,95
-1,-1,-1,96
-1,188,623,97
-1,140,250,98
-1,-1,623,99
-1,-1,408,100
-1,-1,253,101
-1,-1,624,102
-1,-1,345,103
-1,-1,-1,104
-1,-1,625,105
-1,-1,233,106
-1,-1,627,107
-1,199,356,108
-1,-1,350,109
-1,175,627,110
-1,209,380,111
-1,-1,-1,112
-1,197,195,113
-1,-1,627,114
-1,-1,627,115
-1,190,627,116
-1,427,408,117
-1,204,628,118
-1,-1,247,119
-1,-1,627,120
-1,227,627,121
-1,-1,319,1
-1,-1,319,2
-1,-1,319,3
-1,269,319,4
-1,402,319,5
-1,-1,319,6
421,-1,319,7
-1,402,319,8
-1,316,319,9
-1,-1,319,10
-1,-1,319,11
-1,284,319,12
419,284,319,13
420,270,319,14
259,223,319,15
-1,325,319,16
-1,-1,319,17
-1,317,319,18
-1,-1,319,19
-1,-1,319,20
228,234,319,21
-1,-1,319,22
-1,-1,319,23
-1,-1,319,24
-1,-1,319,25
386,282,319,26
-1,317,319,27
-1,-1,319,28
-1,-1,319,29
-1,-1,319,30
-1,-1,319,31
-1,313,319,32
-1,213,319,33
-1,316,319,34
-1,-1,319,35
-1,-1,319,36
-1,402,319,37
-1,266,319,38
448,-1,319,39
-1,402,319,40
226,317,319,41
-1,-1,319,42
-1,280,319,43
-1,402,319,44
462,279,319,45
-1,259,319,46
-1,316,319,47
-1,-1,319,48
460,316,319,49
-1,-1,319,50
-1,235,319,51
-1,263,319,52
-1,213,319,53
-1,402,319,54
-1,382,319,55
-1,-1,319,56
-1,325,319,57
-1,226,319,58
-1,316,319,59
-1,367,319,60
-1,222,319,61
-1,-1,319,62
-1,302,319,63
-1,402,319,64
-1,402,319,65
-1,314,319,66
-1,248,319,67
-1,363,319,68
-1,-1,319,69
-1,402,319,70
-1,391,319,71
-1,146,319,72
-1,339,319,73
-1,397,319,74
-1,-1,319,75
250,-1,319,76
-1,356,319,77
-1,402,319,78
-1,280,319,79
-1,-1,319,80
-1,358,319,81
-1,213,319,82
-1,-1,319,83
-1,-1,319,84
-1,402,319,85
-1,390,319,86
-1,-1,319,87
-1,-1,319,88
-1,269,319,89
-1,316,319,90
-1,246,319,91
-1,-1,319,92
-1,213,319,93
-1,402,319,94
-1,-1,319,95
-1,213,319,96
-1,317,319,97
-1,213,319,98
-1,-1,319,99
-1,-1,319,100
463,358,319,101
-1,-1,319,102
-1,384,319,103
-1,213,319,104
-1,-1,319,105
-1,-1,319,106
-1,314,319,107
-1,316,319,108
-1,402,319,109
-1,-1,319,110
-1,262,319,111
-1,365,319,112
-1,213,319,113
-1,-1,319,114
-1,402,319,115
-1,213,319,116
-1,383,575,1
-1,-1,582,2
103,-1,573,3
591,-1,217,4
-1,-1,230,5
69,166,338,6
-1,-1,-1,7
-1,-1,250,8
89,-1,210,9
46,-1,194,10
71,-1,244,11
59,169,350,12
93,159,196,13
-1,110,600,14
94,558,250,15
-1,165,-1,16
-1,-1,171,17
-1,579,306,18
-1,-1,303,19
-1,162,-1,20
637,-1,239,21
96,168,-1,22
615,-1,-1,23
-1,169,596,24
66,-1,204,25
52,-1,624,26
95,577,238,27
93,110,247,28
-1,78,322,29
-1,-1,-1,30
-1,190,337,31
-1,-1,-1,32
75,56,321,33
-1,-1,-1,34
-1,-1,-1,35
100,143,554,36
610,618,592,37
-1,123,580,38
93,-1,601,39
91,482,171,40
-1,578,380,41
96,161,344,42
-1,-1,578,43
-1,163,556,44
93,78,-1,45
42,595,175,46
-1,170,214,47
-1,166,213,48
-1,516,204,49
-1,-1,-1,50
604,169,-1,51
95,164,-1,52
-1,-1,236,53
80,-1,621,54
596,56,372,55
93,169,372,56
